_,station,arr,dep,dwell,runtime,train
8,渠县,5:25,-,-,28:34:00,K 4562
1,广州,-,2:43,-,0:00,K 6600
2,郴州,7:22,7:28,6,4:39,K 6600
3,衡阳,9:30,-,-,6:47,K 6600
1,广州,-,2:43,-,0:00,K 6600
2,郴州,7:22,7:28,6,4:39,K 6600
3,衡阳,9:30,-,-,6:47,K 6600
1,怀化,-,12:42,-,0:00,K 9262
2,辰溪,13:27,13:33,6,0:45,K 9262
3,溆浦,14:18,14:22,4,1:36,K 9262
4,安化,15:29,15:33,4,2:47,K 9262
5,新化,16:10,16:15,5,3:28,K 9262
6,冷水江东,16:33,16:36,3,3:51,K 9262
7,涟源,16:59,17:02,3,4:17,K 9262
8,娄底,17:42,17:48,6,5:00,K 9262
9,湘乡,18:30,18:33,3,5:48,K 9262
10,湘潭,19:08,19:12,4,6:26,K 9262
11,衡阳,21:25,21:31,6,8:43,K 9262
12,耒阳,22:16,22:19,3,9:34,K 9262
13,郴州,23:17,23:23,6,10:35,K 9262
14,韶关东,1:05,1:11,6,12:23,K 9262
15,广州,3:35,3:56,21,14:53,K 9262
16,深圳东,5:51,-,-,17:09,K 9262
1,怀化,-,12:42,-,0:00,K 9262
2,辰溪,13:27,13:33,6,0:45,K 9262
3,溆浦,14:18,14:22,4,1:36,K 9262
4,安化,15:29,15:33,4,2:47,K 9262
5,新化,16:10,16:15,5,3:28,K 9262
6,冷水江东,16:33,16:36,3,3:51,K 9262
7,涟源,16:59,17:02,3,4:17,K 9262
8,娄底,17:42,17:48,6,5:00,K 9262
9,湘乡,18:30,18:33,3,5:48,K 9262
10,湘潭,19:08,19:12,4,6:26,K 9262
11,衡阳,21:25,21:31,6,8:43,K 9262
12,耒阳,22:16,22:19,3,9:34,K 9262
13,郴州,23:17,23:23,6,10:35,K 9262
14,韶关东,1:05,1:11,6,12:23,K 9262
15,广州,3:35,3:56,21,14:53,K 9262
16,深圳东,5:51,-,-,17:09,K 9262
1,武昌,-,15:12,-,0:00,K 435
2,咸宁,16:08,16:12,4,0:56,K 435
3,赤壁,16:41,16:44,3,1:29,K 435
4,岳阳,17:49,17:59,10,2:37,K 435
5,汨罗,18:40,18:43,3,3:28,K 435
6,长沙,19:34,19:54,20,4:22,K 435
7,衡山,21:28,21:32,4,6:16,K 435
8,衡阳,22:09,22:15,6,6:57,K 435
9,广州,3:54,4:14,20,12:42,K 435
10,东莞东,5:21,5:27,6,14:09,K 435
11,惠州,6:10,-,-,14:58,K 435
1,巴中,-,16:02,-,0:00,K 835
2,平昌,16:53,17:00,7,0:51,K 835
3,石梯,17:40,17:43,3,1:38,K 835
4,达州,18:40,19:15,35,2:38,K 835
5,渠县,20:01,20:07,6,3:59,K 835
6,广安,20:36,20:41,5,4:34,K 835
7,重庆北,22:14,22:46,32,6:12,K 835
8,涪陵,23:55,0:03,8,7:53,K 835
9,铜仁,5:48,5:54,6,13:46,K 835
10,怀化,7:10,7:30,20,15:08,K 835
11,靖州,10:10,10:16,6,18:08,K 835
12,通道,10:47,10:53,6,18:45,K 835
13,牙屯堡,11:42,11:45,3,19:40,K 835
14,融安,13:37,13:44,7,21:35,K 835
15,融水,14:06,14:11,5,22:04,K 835
16,柳州,16:04,16:19,15,24:02:00,K 835
17,来宾,17:11,17:16,5,25:09:00,K 835
18,贵港,18:43,18:47,4,26:41:00,K 835
19,玉林,20:03,20:16,13,28:01:00,K 835
20,河唇,21:42,21:51,9,29:40:00,K 835
21,化州,22:32,22:36,4,30:30:00,K 835
22,茂名西,23:09,23:32,23,31:07:00,K 835
23,佛山,4:07,4:13,6,36:05:00,K 835
24,广州,4:39,4:49,10,36:37:00,K 835
25,深圳西,7:10,-,-,39:08:00,K 835
1,上海南,-,10:41,-,0:00,T 169
2,嘉善,11:15,11:18,3,0:34,T 169
3,嘉兴,11:30,11:33,3,0:49,T 169
4,杭州南,12:38,12:44,6,1:57,T 169
5,义乌,13:39,13:43,4,2:58,T 169
6,金华,14:24,14:31,7,3:43,T 169
7,龙游,15:02,15:05,3,4:21,T 169
8,衢州,15:26,15:29,3,4:45,T 169
9,上饶,16:38,16:43,5,5:57,T 169
10,鹰潭,17:43,17:49,6,7:02,T 169
11,吉安,20:41,20:47,6,10:00,T 169
12,赣州,22:53,23:22,29,12:12,T 169
13,韶关东,2:21,2:27,6,15:40,T 169
14,广州,4:50,-,-,18:09,T 169
1,大连,-,15:26,-,0:00,T 369
2,金州,15:50,15:56,6,0:24,T 369
3,普兰店,16:29,16:32,3,1:03,T 369
4,瓦房店,16:54,16:57,3,1:28,T 369
5,熊岳城,17:48,17:51,3,2:22,T 369
6,大石桥,18:34,18:37,3,3:08,T 369
7,盘锦,19:39,19:43,4,4:13,T 369
8,沟帮子,20:11,20:13,2,4:45,T 369
9,锦州,20:58,21:04,6,5:32,T 369
10,葫芦岛,21:40,21:42,2,6:14,T 369
11,绥中,22:25,22:27,2,6:59,T 369
12,山海关,23:15,23:24,9,7:49,T 369
13,唐山,1:23,1:28,5,9:57,T 369
14,天津,2:54,3:01,7,11:28,T 369
15,保定,5:30,5:36,6,14:04,T 369
16,定州,6:11,6:14,3,14:45,T 369
17,石家庄,7:01,7:09,8,15:35,T 369
18,邢台,8:03,8:06,3,16:37,T 369
19,邯郸,8:41,8:47,6,17:15,T 369
20,安阳,9:28,9:32,4,18:02,T 369
21,新乡,10:30,10:33,3,19:04,T 369
22,郑州,11:23,11:44,21,19:57,T 369
23,漯河,13:02,13:05,3,21:36,T 369
24,驻马店,13:41,13:43,2,22:15,T 369
25,广水,15:30,15:32,2,24:04:00,T 369
26,孝感,16:22,16:24,2,24:56:00,T 369
27,武昌,17:19,17:28,9,25:53:00,T 369
28,咸宁,18:13,18:15,2,26:47:00,T 369
29,赤壁,18:41,18:44,3,27:15:00,T 369
30,岳阳,19:44,19:47,3,28:18:00,T 369
31,长沙,21:10,21:18,8,29:44:00,T 369
32,衡阳,23:17,23:22,5,31:51:00,T 369
33,郴州,1:01,1:05,4,33:35:00,T 369
34,广州,5:11,-,-,37:45:00,T 369
1,永州,-,20:54,-,0:00,K 9128
2,祁阳,21:17,21:25,8,0:23,K 9128
3,祁东,21:44,21:52,8,0:50,K 9128
4,衡阳,22:56,23:16,20,2:02,K 9128
5,广州,5:05,5:25,20,8:11,K 9128
6,深圳西,7:38,-,-,10:44,K 9128
1,永州,-,20:54,-,0:00,K 9128
2,祁阳,21:17,21:25,8,0:23,K 9128
3,祁东,21:44,21:52,8,0:50,K 9128
4,衡阳,22:56,23:16,20,2:02,K 9128
5,广州,5:05,5:25,20,8:11,K 9128
6,深圳西,7:38,-,-,10:44,K 9128
1,娄底,-,19:16,-,0:00,K 9286
2,湘乡,19:56,20:15,19,0:40,K 9286
3,湘潭,20:47,20:53,6,1:31,K 9286
4,衡阳,23:11,23:28,17,3:55,K 9286
5,广州,5:23,5:43,20,10:07,K 9286
6,深圳西,8:09,-,-,12:53,K 9286
1,炎陵,-,21:15,-,0:00,K 9293
2,茶陵南,21:55,21:58,3,0:40,K 9293
3,攸县南,22:14,22:17,3,0:59,K 9293
4,安仁,22:28,22:30,2,1:13,K 9293
5,衡阳,23:34,23:40,6,2:19,K 9293
6,郴州,1:20,1:26,6,4:05,K 9293
7,广州,5:33,5:53,20,8:18,K 9293
8,深圳西,9:38,-,-,12:23,K 9293
1,长沙,-,21:37,-,0:00,Z 8021
2,衡阳,23:55,0:04,9,2:18,Z 8021
3,广州,5:54,6:00,6,8:17,Z 8021
4,深圳东,8:23,-,-,10:46,Z 8021
1,广州,-,6:18,-,0:00,C 7027
2,广州东,6:28,6:34,6,0:10,C 7027
3,东莞,7:00,7:02,2,0:42,C 7027
4,常平,7:12,7:14,2,0:54,C 7027
5,深圳,7:43,-,-,1:25,C 7027
1,张家界西,-,18:00,-,0:00,T 8301
2,桃源,19:01,19:04,3,1:01,T 8301
3,常德,19:33,19:38,5,1:33,T 8301
4,益阳,20:35,20:41,6,2:35,T 8301
5,宁乡,21:09,21:19,10,3:09,T 8301
6,长沙,22:08,22:30,22,4:08,T 8301
7,衡阳,0:24,0:34,10,6:24,T 8301
8,广州,6:20,-,-,12:20,T 8301
1,武昌,-,18:41,-,0:00,T 95
2,咸宁,19:26,19:36,10,0:45,T 95
3,赤壁,20:02,20:12,10,1:21,T 95
4,长沙,22:31,22:37,6,3:50,T 95
5,韶关东,3:45,3:51,6,9:04,T 95
6,广州,6:14,6:38,24,11:33,T 95
7,深圳东,8:37,-,-,13:56,T 95
1,松桃,-,16:42,-,0:00,K 9263
2,铜仁,17:33,17:41,8,0:51,K 9263
3,怀化,18:51,19:10,19,2:09,K 9263
4,衡阳,0:06,0:21,15,7:24,K 9263
5,郴州,2:00,2:17,17,9:18,K 9263
6,韶关东,4:00,4:11,11,11:18,K 9263
7,广州,6:35,6:55,20,13:53,K 9263
8,深圳东,8:50,-,-,16:08,K 9263
1,长沙,-,22:55,-,0:00,K 9217
2,衡阳,1:05,1:11,6,2:10,K 9217
3,广州,6:52,7:02,10,7:57,K 9217
4,深圳,8:46,-,-,9:51,K 9217
1,金城江,-,15:34,-,0:00,K 950
2,宜州,16:23,16:28,5,0:49,K 950
3,柳州,18:04,18:30,26,2:30,K 950
4,桂林北,20:45,20:53,8,5:11,K 950
5,兴安北,21:29,21:33,4,5:55,K 950
6,全州南,22:07,22:11,4,6:33,K 950
7,东安东,23:01,23:04,3,7:27,K 950
8,永州,23:27,23:35,8,7:53,K 950
9,衡阳,1:03,1:23,20,9:29,K 950
10,韶关东,4:42,4:48,6,13:08,K 950
11,广州,7:13,7:23,10,15:39,K 950
12,深圳东,9:17,-,-,17:43,K 950
1,景德镇北,-,14:58,-,0:00,K 87
2,鄱阳,15:22,15:26,4,0:24,K 87
3,都昌,15:57,16:12,15,0:59,K 87
4,湖口,16:33,17:20,47,1:35,K 87
5,九江,17:56,18:19,23,2:58,K 87
6,南昌西,19:56,20:05,9,4:58,K 87
7,吉安,22:29,22:33,4,7:31,K 87
8,泰和,22:54,22:57,3,7:56,K 87
9,赣州,0:38,0:44,6,9:40,K 87
10,河源,4:33,4:36,3,13:35,K 87
11,惠州,5:27,5:30,3,14:29,K 87
12,东莞东,6:14,6:19,5,15:16,K 87
13,广州,7:26,-,-,16:28,K 87
1,重庆北,-,12:25,-,0:00,K 687
2,武隆,14:41,14:45,4,2:16,K 687
3,彭水,15:22,15:26,4,2:57,K 687
4,黔江,16:21,16:27,6,3:56,K 687
5,咸丰,16:54,16:57,3,4:29,K 687
6,龙山北,17:28,17:31,3,5:03,K 687
7,张家界西,18:42,18:48,6,6:17,K 687
8,常德,20:33,20:38,5,8:08,K 687
9,益阳,21:39,21:44,5,9:14,K 687
10,长沙,22:55,23:15,20,10:30,K 687
11,衡阳,1:12,1:17,5,12:47,K 687
12,韶关东,4:36,4:42,6,16:11,K 687
13,广州,7:07,7:30,23,18:42,K 687
14,东莞东,8:43,8:56,13,20:18,K 687
15,惠州,10:20,-,-,21:55,K 687
1,广州,-,7:50,-,0:00,K 528
2,英德,9:11,9:27,16,1:21,K 528
3,韶关东,10:27,10:41,14,2:37,K 528
4,始兴,11:29,11:35,6,3:39,K 528
5,南雄,11:58,12:10,12,4:08,K 528
6,大余,13:04,13:06,2,5:14,K 528
7,赣州,14:14,14:41,27,6:24,K 528
8,吉安,16:34,16:38,4,8:44,K 528
9,峡江,17:20,17:23,3,9:30,K 528
10,进贤,19:01,19:04,3,11:11,K 528
11,东乡,19:29,19:33,4,11:39,K 528
12,鹰潭,20:02,20:08,6,12:12,K 528
13,上饶,21:14,21:19,5,13:24,K 528
14,衢州,22:45,22:56,11,14:55,K 528
15,金华,23:57,0:06,9,16:07,K 528
16,义乌,0:41,0:46,5,16:51,K 528
17,杭州南,1:59,2:03,4,18:09,K 528
18,嘉兴,3:06,3:10,4,19:16,K 528
19,上海南,4:07,4:29,22,20:17,K 528
20,苏州,5:38,5:42,4,21:48,K 528
21,无锡,6:10,6:14,4,22:20,K 528
22,常州,6:41,6:44,3,22:51,K 528
23,南京,8:16,-,-,24:26:00,K 528
1,广州,-,7:50,-,0:00,K 528
2,英德,9:11,9:27,16,1:21,K 528
3,韶关东,10:27,10:41,14,2:37,K 528
4,始兴,11:29,11:35,6,3:39,K 528
5,南雄,11:58,12:10,12,4:08,K 528
6,大余,13:04,13:06,2,5:14,K 528
7,赣州,14:14,14:41,27,6:24,K 528
8,吉安,16:34,16:38,4,8:44,K 528
9,峡江,17:20,17:23,3,9:30,K 528
10,进贤,19:01,19:04,3,11:11,K 528
11,东乡,19:29,19:33,4,11:39,K 528
12,鹰潭,20:02,20:08,6,12:12,K 528
13,上饶,21:14,21:19,5,13:24,K 528
14,衢州,22:45,22:56,11,14:55,K 528
15,金华,23:57,0:06,9,16:07,K 528
16,义乌,0:41,0:46,5,16:51,K 528
17,杭州南,1:59,2:03,4,18:09,K 528
18,嘉兴,3:06,3:10,4,19:16,K 528
19,上海南,4:07,4:29,22,20:17,K 528
20,苏州,5:38,5:42,4,21:48,K 528
21,无锡,6:10,6:14,4,22:20,K 528
22,常州,6:41,6:44,3,22:51,K 528
23,南京,8:16,-,-,24:26:00,K 528
1,广州,-,8:03,-,0:00,K 1160
2,韶关东,10:21,10:27,6,2:18,K 1160
3,郴州,12:11,12:16,5,4:08,K 1160
4,衡阳,13:59,14:04,5,5:56,K 1160
5,长沙,16:36,16:44,8,8:33,K 1160
6,岳阳,18:09,18:20,11,10:06,K 1160
7,赤壁,19:35,19:39,4,11:32,K 1160
8,咸宁,20:34,20:37,3,12:31,K 1160
9,武昌,21:41,21:49,8,13:38,K 1160
10,广水,23:34,23:43,9,15:31,K 1160
11,信阳,0:32,0:35,3,16:29,K 1160
12,驻马店,1:35,1:38,3,17:32,K 1160
13,漯河,2:21,3:04,43,18:18,K 1160
14,许昌,3:42,3:45,3,19:39,K 1160
15,郑州,5:00,5:24,24,20:57,K 1160
16,开封,6:20,6:22,2,22:17,K 1160
17,兰考,6:50,7:12,22,22:47,K 1160
18,宁陵县,7:46,7:56,10,23:43,K 1160
19,商丘,8:25,8:32,7,24:22:00,K 1160
20,虞城县,8:53,8:58,5,24:50:00,K 1160
21,砀山,9:28,9:33,5,25:25:00,K 1160
22,徐州,10:46,10:58,12,26:43:00,K 1160
23,邳州,11:51,11:56,5,27:48:00,K 1160
24,新沂,12:27,12:46,19,28:24:00,K 1160
25,郯城,13:13,13:18,5,29:10:00,K 1160
26,临沂东,14:17,14:23,6,30:14:00,K 1160
27,沂南,15:23,15:29,6,31:20:00,K 1160
28,沂水,15:44,15:48,4,31:41:00,K 1160
29,莒县,15:57,16:01,4,31:54:00,K 1160
30,五莲,16:36,16:40,4,32:33:00,K 1160
31,诸城,17:18,17:28,10,33:15:00,K 1160
32,胶州,18:18,18:25,7,34:15:00,K 1160
33,蓝村,18:41,18:50,9,34:38:00,K 1160
34,莱阳,19:47,19:55,8,35:44:00,K 1160
35,桃村,20:33,20:35,2,36:30:00,K 1160
36,烟台,21:27,-,-,37:24:00,K 1160
1,广州,-,8:18,-,0:00,Z 138
2,韶关东,10:33,10:39,6,2:15,Z 138
3,郴州,12:18,12:22,4,4:00,Z 138
4,衡阳,14:05,14:11,6,5:47,Z 138
5,长沙,16:22,16:32,10,8:04,Z 138
6,岳阳,17:53,17:56,3,9:35,Z 138
7,武昌,20:04,20:26,22,11:46,Z 138
8,信阳,22:40,22:43,3,14:22,Z 138
9,驻马店,23:30,23:33,3,15:12,Z 138
10,漯河,0:09,0:13,4,15:51,Z 138
11,郑州,1:28,1:35,7,17:10,Z 138
12,洛阳,3:02,3:08,6,18:44,Z 138
13,西安,7:42,7:50,8,23:24,Z 138
14,宝鸡,9:25,9:29,4,25:07:00,Z 138
15,天水,11:00,11:06,6,26:42:00,Z 138
16,甘谷,11:55,11:59,4,27:37:00,Z 138
17,陇西,12:43,12:47,4,28:25:00,Z 138
18,兰州,15:03,15:18,15,30:45:00,Z 138
19,武威,18:17,18:23,6,33:59:00,Z 138
20,张掖,20:34,20:39,5,36:16:00,Z 138
21,嘉峪关,22:36,22:51,15,38:18:00,Z 138
22,柳园,1:31,1:37,6,41:13:00,Z 138
23,哈密,4:25,4:36,11,44:07:00,Z 138
24,鄯善北,6:32,6:34,2,46:14:00,Z 138
25,吐鲁番北,7:18,7:20,2,47:00:00,Z 138
26,乌鲁木齐,8:49,-,-,48:31:00,Z 138
1,深圳,-,6:58,-,0:00,C 7064
2,平湖,7:09,7:11,2,0:11,C 7064
3,樟木头,7:22,7:24,2,0:24,C 7064
4,常平,7:31,7:33,2,0:33,C 7064
5,东莞,7:43,7:45,2,0:45,C 7064
6,广州东,8:16,8:20,4,1:18,C 7064
7,广州,8:30,-,-,1:32,C 7064
1,常德,-,21:30,-,0:00,K 9275
2,益阳,22:31,22:39,8,1:01,K 9275
3,长沙,23:51,0:13,22,2:21,K 9275
4,韶关东,5:50,5:56,6,8:20,K 9275
5,广州,8:22,8:32,10,10:52,K 9275
6,深圳,10:58,-,-,13:28,K 9275
1,周口,-,12:45,-,0:00,K 1006
2,漯河,13:35,14:15,40,0:50,K 1006
3,西平,14:30,14:33,3,1:45,K 1006
4,驻马店,15:00,15:03,3,2:15,K 1006
5,确山,15:19,15:22,3,2:34,K 1006
6,信阳,16:21,16:27,6,3:36,K 1006
7,广水,17:20,17:30,10,4:35,K 1006
8,花园,18:03,18:06,3,5:18,K 1006
9,孝感,18:27,18:30,3,5:42,K 1006
10,武昌,19:33,19:53,20,6:48,K 1006
11,咸宁,20:40,20:44,4,7:55,K 1006
12,赤壁,21:17,21:20,3,8:32,K 1006
13,岳阳,22:25,22:31,6,9:40,K 1006
14,长沙,23:59,0:07,8,11:14,K 1006
15,衡阳,2:06,2:12,6,13:21,K 1006
16,郴州,3:51,4:13,22,15:06,K 1006
17,韶关东,5:56,6:11,15,17:11,K 1006
18,广州,8:40,-,-,19:55,K 1006
1,广州,-,8:45,-,0:00,C 9959
2,广州东,8:55,8:59,4,0:10,C 9959
3,东莞,9:25,9:32,7,0:40,C 9959
4,常平,9:42,9:44,2,0:57,C 9959
5,深圳,10:13,-,-,1:28,C 9959
1,广州,-,8:45,-,0:00,C 7065
2,广州东,8:55,8:58,3,0:10,C 7065
3,东莞,9:24,9:32,8,0:39,C 7065
4,常平,9:42,9:44,2,0:57,C 7065
5,深圳,10:13,-,-,1:28,C 7065
1,广州,-,8:52,-,0:00,K 4896
2,韶关东,11:10,11:18,8,2:18,K 4896
3,衡阳,14:49,14:54,5,5:57,K 4896
4,长沙,16:55,17:17,22,8:03,K 4896
5,益阳,18:29,18:35,6,9:37,K 4896
6,常德,19:36,19:41,5,10:44,K 4896
7,石门县北,20:41,20:47,6,11:49,K 4896
8,安康,5:31,5:39,8,20:39,K 4896
9,达州,9:15,9:23,8,24:23:00,K 4896
10,石梯,10:24,10:28,4,25:32:00,K 4896
11,平昌,10:56,11:01,5,26:04:00,K 4896
12,巴中,11:37,-,-,26:45:00,K 4896
1,广州,-,9:05,-,0:00,K 326
2,韶关东,11:24,11:30,6,2:19,K 326
