_,station,arr,dep,dwell,runtime,train,line
6,花都,6:31,6:40,9,0:16,C 4760,广东城际200km/h
7,花城街,6:48,6:49,1,0:33,C 4760,广东城际200km/h
8,花山镇,6:52,6:53,1,0:37,C 4760,广东城际200km/h
9,白云机场北,7:01,-,5,0:46,C 4760,广东城际200km/h
1,白云机场北,-,7:39,5,0:00,C 4762,广东城际200km/h
2,花山镇,7:45,7:46,1,0:06,C 4762,广东城际200km/h
3,花城街,7:50,7:51,1,0:11,C 4762,广东城际200km/h
4,花都,7:59,8:08,9,0:20,C 4762,广东城际200km/h
5,乐同,8:14,8:15,1,0:35,C 4762,广东城际200km/h
6,狮岭,8:20,8:21,1,0:41,C 4762,广东城际200km/h
7,银盏,8:29,8:30,1,0:50,C 4762,广东城际200km/h
8,龙塘镇,8:35,8:36,1,0:56,C 4762,广东城际200km/h
9,清城,8:41,-,5,1:02,C 4762,广东城际200km/h
1,清城,-,6:30,5,0:00,C 4764,广东城际200km/h
2,龙塘镇,6:35,6:36,1,0:05,C 4764,广东城际200km/h
3,银盏,6:42,6:43,1,0:12,C 4764,广东城际200km/h
4,狮岭,6:50,6:51,1,0:20,C 4764,广东城际200km/h
5,乐同,6:56,6:57,1,0:26,C 4764,广东城际200km/h
6,花都,7:03,7:12,9,0:33,C 4764,广东城际200km/h
7,花城街,7:20,7:21,1,0:50,C 4764,广东城际200km/h
8,花山镇,7:25,7:26,1,0:55,C 4764,广东城际200km/h
9,白云机场北,7:33,-,5,1:03,C 4764,广东城际200km/h
1,白云机场北,-,8:10,5,0:00,C 4766,广东城际200km/h
2,花山镇,8:16,8:17,1,0:06,C 4766,广东城际200km/h
3,花城街,8:21,8:22,1,0:11,C 4766,广东城际200km/h
4,花都,8:30,8:39,9,0:20,C 4766,广东城际200km/h
5,乐同,8:45,8:46,1,0:35,C 4766,广东城际200km/h
6,狮岭,8:51,8:52,1,0:41,C 4766,广东城际200km/h
7,银盏,9:00,9:01,1,0:50,C 4766,广东城际200km/h
8,龙塘镇,9:06,9:07,1,0:56,C 4766,广东城际200km/h
9,清城,9:12,-,5,1:02,C 4766,广东城际200km/h
1,清城,-,7:11,5,0:00,C 4768,广东城际200km/h
2,龙塘镇,7:16,7:17,1,0:05,C 4768,广东城际200km/h
3,银盏,7:23,7:24,1,0:12,C 4768,广东城际200km/h
4,狮岭,7:31,7:32,1,0:20,C 4768,广东城际200km/h
5,乐同,7:37,7:38,1,0:26,C 4768,广东城际200km/h
6,花都,7:44,7:53,9,0:33,C 4768,广东城际200km/h
7,花城街,8:01,8:02,1,0:50,C 4768,广东城际200km/h
8,花山镇,8:06,8:07,1,0:55,C 4768,广东城际200km/h
9,白云机场北,8:14,-,5,1:03,C 4768,广东城际200km/h
1,白云机场北,-,8:50,5,0:00,C 4770,广东城际200km/h
2,花山镇,8:56,8:57,1,0:06,C 4770,广东城际200km/h
3,花城街,9:01,9:02,1,0:11,C 4770,广东城际200km/h
4,花都,9:10,9:19,9,0:20,C 4770,广东城际200km/h
5,乐同,9:25,9:26,1,0:35,C 4770,广东城际200km/h
6,狮岭,9:31,9:32,1,0:41,C 4770,广东城际200km/h
7,银盏,9:40,9:41,1,0:50,C 4770,广东城际200km/h
8,龙塘镇,9:46,9:47,1,0:56,C 4770,广东城际200km/h
9,清城,9:52,-,5,1:02,C 4770,广东城际200km/h
1,清城,-,7:42,5,0:00,C 4772,广东城际200km/h
2,龙塘镇,7:47,7:48,1,0:05,C 4772,广东城际200km/h
3,银盏,7:54,7:55,1,0:12,C 4772,广东城际200km/h
4,狮岭,8:02,8:03,1,0:20,C 4772,广东城际200km/h
5,乐同,8:08,8:09,1,0:26,C 4772,广东城际200km/h
6,花都,8:15,8:24,9,0:33,C 4772,广东城际200km/h
7,花城街,8:32,8:33,1,0:50,C 4772,广东城际200km/h
8,花山镇,8:37,8:38,1,0:55,C 4772,广东城际200km/h
9,白云机场北,8:45,-,5,1:03,C 4772,广东城际200km/h
1,白云机场北,-,9:24,5,0:00,C 4774,广东城际200km/h
2,花山镇,9:30,9:31,1,0:06,C 4774,广东城际200km/h
3,花城街,9:35,9:36,1,0:11,C 4774,广东城际200km/h
4,花都,9:44,9:53,9,0:20,C 4774,广东城际200km/h
5,乐同,9:59,10:00,1,0:35,C 4774,广东城际200km/h
6,狮岭,10:05,10:06,1,0:41,C 4774,广东城际200km/h
7,银盏,10:14,10:15,1,0:50,C 4774,广东城际200km/h
8,龙塘镇,10:20,10:21,1,0:56,C 4774,广东城际200km/h
9,清城,10:26,-,5,1:02,C 4774,广东城际200km/h
1,清城,-,8:22,5,0:00,C 4776,广东城际200km/h
2,龙塘镇,8:27,8:28,1,0:05,C 4776,广东城际200km/h
3,银盏,8:34,8:35,1,0:12,C 4776,广东城际200km/h
4,狮岭,8:42,8:43,1,0:20,C 4776,广东城际200km/h
5,乐同,8:48,8:49,1,0:26,C 4776,广东城际200km/h
6,花都,8:55,9:04,9,0:33,C 4776,广东城际200km/h
7,花城街,9:12,9:13,1,0:50,C 4776,广东城际200km/h
8,花山镇,9:17,9:18,1,0:55,C 4776,广东城际200km/h
9,白云机场北,9:25,-,5,1:03,C 4776,广东城际200km/h
1,白云机场北,-,10:00,5,0:00,C 4778,广东城际200km/h
2,花山镇,10:06,10:07,1,0:06,C 4778,广东城际200km/h
3,花城街,10:11,10:12,1,0:11,C 4778,广东城际200km/h
4,花都,10:20,10:29,9,0:20,C 4778,广东城际200km/h
5,乐同,10:35,10:36,1,0:35,C 4778,广东城际200km/h
6,狮岭,10:41,10:42,1,0:41,C 4778,广东城际200km/h
7,银盏,10:50,10:51,1,0:50,C 4778,广东城际200km/h
8,龙塘镇,10:56,10:57,1,0:56,C 4778,广东城际200km/h
9,清城,11:02,-,5,1:02,C 4778,广东城际200km/h
1,清城,-,8:54,5,0:00,C 4780,广东城际200km/h
2,龙塘镇,8:59,9:00,1,0:05,C 4780,广东城际200km/h
3,银盏,9:06,9:07,1,0:12,C 4780,广东城际200km/h
4,狮岭,9:14,9:15,1,0:20,C 4780,广东城际200km/h
5,乐同,9:20,9:21,1,0:26,C 4780,广东城际200km/h
6,花都,9:27,9:36,9,0:33,C 4780,广东城际200km/h
7,花城街,9:44,9:45,1,0:50,C 4780,广东城际200km/h
8,花山镇,9:49,9:50,1,0:55,C 4780,广东城际200km/h
9,白云机场北,9:57,-,5,1:03,C 4780,广东城际200km/h
1,白云机场北,-,10:32,5,0:00,C 4782,广东城际200km/h
2,花山镇,10:38,10:39,1,0:06,C 4782,广东城际200km/h
3,花城街,10:43,10:44,1,0:11,C 4782,广东城际200km/h
4,花都,10:52,11:01,9,0:20,C 4782,广东城际200km/h
5,乐同,11:07,11:08,1,0:35,C 4782,广东城际200km/h
6,狮岭,11:13,11:14,1,0:41,C 4782,广东城际200km/h
7,银盏,11:22,11:23,1,0:50,C 4782,广东城际200km/h
8,龙塘镇,11:28,11:29,1,0:56,C 4782,广东城际200km/h
9,清城,11:34,-,5,1:02,C 4782,广东城际200km/h
1,清城,-,9:28,5,0:00,C 4784,广东城际200km/h
2,龙塘镇,9:33,9:34,1,0:05,C 4784,广东城际200km/h
3,银盏,9:40,9:41,1,0:12,C 4784,广东城际200km/h
4,狮岭,9:48,9:49,1,0:20,C 4784,广东城际200km/h
5,乐同,9:54,9:55,1,0:26,C 4784,广东城际200km/h
6,花都,10:01,10:10,9,0:33,C 4784,广东城际200km/h
7,花城街,10:18,10:19,1,0:50,C 4784,广东城际200km/h
8,花山镇,10:23,10:24,1,0:55,C 4784,广东城际200km/h
9,白云机场北,10:31,-,5,1:03,C 4784,广东城际200km/h
1,白云机场北,-,11:06,5,0:00,C 4786,广东城际200km/h
2,花山镇,11:12,11:13,1,0:06,C 4786,广东城际200km/h
3,花城街,11:17,11:18,1,0:11,C 4786,广东城际200km/h
4,花都,11:26,11:35,9,0:20,C 4786,广东城际200km/h
5,乐同,11:41,11:42,1,0:35,C 4786,广东城际200km/h
6,狮岭,11:47,11:48,1,0:41,C 4786,广东城际200km/h
7,银盏,11:56,11:57,1,0:50,C 4786,广东城际200km/h
8,龙塘镇,12:02,12:03,1,0:56,C 4786,广东城际200km/h
9,清城,12:08,-,5,1:02,C 4786,广东城际200km/h
1,清城,-,10:02,5,0:00,C 4788,广东城际200km/h
2,龙塘镇,10:07,10:08,1,0:05,C 4788,广东城际200km/h
3,银盏,10:14,10:15,1,0:12,C 4788,广东城际200km/h
4,狮岭,10:22,10:23,1,0:20,C 4788,广东城际200km/h
5,乐同,10:28,10:29,1,0:26,C 4788,广东城际200km/h
6,花都,10:35,10:44,9,0:33,C 4788,广东城际200km/h
7,花城街,10:52,10:53,1,0:50,C 4788,广东城际200km/h
8,花山镇,10:57,10:58,1,0:55,C 4788,广东城际200km/h
9,白云机场北,11:05,-,5,1:03,C 4788,广东城际200km/h
1,白云机场北,-,11:40,5,0:00,C 4790,广东城际200km/h
2,花山镇,11:46,11:47,1,0:06,C 4790,广东城际200km/h
3,花城街,11:51,11:52,1,0:11,C 4790,广东城际200km/h
4,花都,12:00,12:09,9,0:20,C 4790,广东城际200km/h
5,乐同,12:15,12:16,1,0:35,C 4790,广东城际200km/h
6,狮岭,12:21,12:22,1,0:41,C 4790,广东城际200km/h
7,银盏,12:30,12:31,1,0:50,C 4790,广东城际200km/h
8,龙塘镇,12:36,12:37,1,0:56,C 4790,广东城际200km/h
9,清城,12:42,-,5,1:02,C 4790,广东城际200km/h
1,清城,-,10:36,5,0:00,C 4792,广东城际200km/h
2,龙塘镇,10:41,10:42,1,0:05,C 4792,广东城际200km/h
3,银盏,10:48,10:49,1,0:12,C 4792,广东城际200km/h
4,狮岭,10:56,10:57,1,0:20,C 4792,广东城际200km/h
5,乐同,11:02,11:03,1,0:26,C 4792,广东城际200km/h
6,花都,11:09,11:18,9,0:33,C 4792,广东城际200km/h
7,花城街,11:26,11:27,1,0:50,C 4792,广东城际200km/h
8,花山镇,11:31,11:32,1,0:55,C 4792,广东城际200km/h
9,白云机场北,11:39,-,5,1:03,C 4792,广东城际200km/h
1,白云机场北,-,12:15,5,0:00,C 4794,广东城际200km/h
2,花山镇,12:21,12:22,1,0:06,C 4794,广东城际200km/h
3,花城街,12:26,12:27,1,0:11,C 4794,广东城际200km/h
4,花都,12:35,12:44,9,0:20,C 4794,广东城际200km/h
5,乐同,12:50,12:51,1,0:35,C 4794,广东城际200km/h
6,狮岭,12:56,12:57,1,0:41,C 4794,广东城际200km/h
7,银盏,13:05,13:06,1,0:50,C 4794,广东城际200km/h
8,龙塘镇,13:11,13:12,1,0:56,C 4794,广东城际200km/h
9,清城,13:17,-,5,1:02,C 4794,广东城际200km/h
1,清城,-,11:11,5,0:00,C 4796,广东城际200km/h
2,龙塘镇,11:16,11:17,1,0:05,C 4796,广东城际200km/h
3,银盏,11:23,11:24,1,0:12,C 4796,广东城际200km/h
4,狮岭,11:31,11:32,1,0:20,C 4796,广东城际200km/h
5,乐同,11:37,11:38,1,0:26,C 4796,广东城际200km/h
6,花都,11:44,11:53,9,0:33,C 4796,广东城际200km/h
7,花城街,12:01,12:02,1,0:50,C 4796,广东城际200km/h
8,花山镇,12:06,12:07,1,0:55,C 4796,广东城际200km/h
9,白云机场北,12:14,-,5,1:03,C 4796,广东城际200km/h
1,白云机场北,-,12:49,5,0:00,C 4798,广东城际200km/h
2,花山镇,12:55,12:56,1,0:06,C 4798,广东城际200km/h
3,花城街,13:00,13:01,1,0:11,C 4798,广东城际200km/h
4,花都,13:09,13:18,9,0:20,C 4798,广东城际200km/h
5,乐同,13:24,13:25,1,0:35,C 4798,广东城际200km/h
6,狮岭,13:30,13:31,1,0:41,C 4798,广东城际200km/h
7,银盏,13:39,13:40,1,0:50,C 4798,广东城际200km/h
8,龙塘镇,13:45,13:46,1,0:56,C 4798,广东城际200km/h
9,清城,13:51,-,5,1:02,C 4798,广东城际200km/h
1,清城,-,11:43,5,0:00,C 4800,广东城际200km/h
2,龙塘镇,11:48,11:49,1,0:05,C 4800,广东城际200km/h
3,银盏,11:55,11:56,1,0:12,C 4800,广东城际200km/h
4,狮岭,12:03,12:04,1,0:20,C 4800,广东城际200km/h
5,乐同,12:09,12:10,1,0:26,C 4800,广东城际200km/h
6,花都,12:16,12:25,9,0:33,C 4800,广东城际200km/h
7,花城街,12:33,12:34,1,0:50,C 4800,广东城际200km/h
8,花山镇,12:38,12:39,1,0:55,C 4800,广东城际200km/h
9,白云机场北,12:46,-,5,1:03,C 4800,广东城际200km/h
1,白云机场北,-,13:22,5,0:00,C 4802,广东城际200km/h
2,花山镇,13:28,13:29,1,0:06,C 4802,广东城际200km/h
3,花城街,13:33,13:34,1,0:11,C 4802,广东城际200km/h
4,花都,13:42,13:51,9,0:20,C 4802,广东城际200km/h
5,乐同,13:57,13:58,1,0:35,C 4802,广东城际200km/h
6,狮岭,14:03,14:04,1,0:41,C 4802,广东城际200km/h
7,银盏,14:12,14:13,1,0:50,C 4802,广东城际200km/h
8,龙塘镇,14:18,14:19,1,0:56,C 4802,广东城际200km/h
9,清城,14:24,-,5,1:02,C 4802,广东城际200km/h
1,清城,-,12:18,5,0:00,C 4804,广东城际200km/h
2,龙塘镇,12:23,12:24,1,0:05,C 4804,广东城际200km/h
3,银盏,12:30,12:31,1,0:12,C 4804,广东城际200km/h
4,狮岭,12:38,12:39,1,0:20,C 4804,广东城际200km/h
5,乐同,12:44,12:45,1,0:26,C 4804,广东城际200km/h
6,花都,12:51,13:00,9,0:33,C 4804,广东城际200km/h
7,花城街,13:08,13:09,1,0:50,C 4804,广东城际200km/h
8,花山镇,13:13,13:14,1,0:55,C 4804,广东城际200km/h
9,白云机场北,13:21,-,5,1:03,C 4804,广东城际200km/h
1,白云机场北,-,13:56,5,0:00,C 4806,广东城际200km/h
2,花山镇,14:02,14:03,1,0:06,C 4806,广东城际200km/h
3,花城街,14:07,14:08,1,0:11,C 4806,广东城际200km/h
4,花都,14:16,14:25,9,0:20,C 4806,广东城际200km/h
5,乐同,14:31,14:32,1,0:35,C 4806,广东城际200km/h
6,狮岭,14:37,14:38,1,0:41,C 4806,广东城际200km/h
7,银盏,14:46,14:47,1,0:50,C 4806,广东城际200km/h
8,龙塘镇,14:52,14:53,1,0:56,C 4806,广东城际200km/h
9,清城,14:58,-,5,1:02,C 4806,广东城际200km/h
1,清城,-,12:52,5,0:00,C 4808,广东城际200km/h
2,龙塘镇,12:57,12:58,1,0:05,C 4808,广东城际200km/h
3,银盏,13:04,13:05,1,0:12,C 4808,广东城际200km/h
4,狮岭,13:12,13:13,1,0:20,C 4808,广东城际200km/h
5,乐同,13:18,13:19,1,0:26,C 4808,广东城际200km/h
6,花都,13:25,13:34,9,0:33,C 4808,广东城际200km/h
7,花城街,13:42,13:43,1,0:50,C 4808,广东城际200km/h
8,花山镇,13:47,13:48,1,0:55,C 4808,广东城际200km/h
9,白云机场北,13:55,-,5,1:03,C 4808,广东城际200km/h
1,白云机场北,-,14:30,5,0:00,C 4810,广东城际200km/h
2,花山镇,14:36,14:37,1,0:06,C 4810,广东城际200km/h
3,花城街,14:41,14:42,1,0:11,C 4810,广东城际200km/h
4,花都,14:50,14:59,9,0:20,C 4810,广东城际200km/h
5,乐同,15:05,15:06,1,0:35,C 4810,广东城际200km/h
6,狮岭,15:11,15:12,1,0:41,C 4810,广东城际200km/h
7,银盏,15:20,15:21,1,0:50,C 4810,广东城际200km/h
8,龙塘镇,15:26,15:27,1,0:56,C 4810,广东城际200km/h
9,清城,15:32,-,5,1:02,C 4810,广东城际200km/h
1,清城,-,13:26,5,0:00,C 4812,广东城际200km/h
2,龙塘镇,13:31,13:32,1,0:05,C 4812,广东城际200km/h
3,银盏,13:38,13:39,1,0:12,C 4812,广东城际200km/h
4,狮岭,13:46,13:47,1,0:20,C 4812,广东城际200km/h
5,乐同,13:52,13:53,1,0:26,C 4812,广东城际200km/h
6,花都,13:59,14:08,9,0:33,C 4812,广东城际200km/h
