traincode,station,arr,dep,time,line,state
C 6721,虎门北,0,1,98,穗深城际线B140km/h,middle
C 6721,虎门东,1,0,103,穗深城际线B140km/h,middle
C 6721,虎门东,0,1,104,穗深城际线B140km/h,middle
C 6721,长安西,1,0,110,穗深城际线B140km/h,middle
C 6721,长安西,0,1,112,穗深城际线B140km/h,middle
C 6721,长安,1,0,115,穗深城际线B140km/h,middle
C 6721,长安,0,1,117,穗深城际线B140km/h,last
C 6725,沙井西,1,0,3,穗深城际线B140km/h,first
C 6725,沙井西,0,1,3,穗深城际线B140km/h,middle
C 6725,福海西,1,0,5,穗深城际线B140km/h,middle
C 6725,福海西,0,1,5,穗深城际线B140km/h,middle
C 6725,深圳机场北,1,0,7,穗深城际线B140km/h,middle
C 6725,深圳机场北,0,1,7,穗深城际线B140km/h,middle
C 6725,深圳机场,1,0,11,穗深城际线B140km/h,last
C 6731,广州东,0,1,113,广深线140~180km/h,first
C 6731,石牌,1,0,116,广深线140~180km/h,middle
C 6731,石牌,0,1,116,广深线140~180km/h,last
C 6733,长安西,1,0,0,穗深城际线B140km/h,first
C 6733,长安西,0,1,16,穗深城际线B140km/h,middle
C 6733,长安,1,0,17,穗深城际线B140km/h,middle
C 6733,长安,0,1,19,穗深城际线B140km/h,middle
C 6733,沙井西,1,0,23,穗深城际线B140km/h,middle
C 6733,沙井西,0,1,25,穗深城际线B140km/h,middle
C 6733,福海西,1,0,27,穗深城际线B140km/h,middle
C 6733,福海西,0,1,28,穗深城际线B140km/h,middle
C 6733,深圳机场北,1,0,30,穗深城际线B140km/h,middle
C 6733,深圳机场北,0,1,32,穗深城际线B140km/h,middle
C 6733,深圳机场,1,0,33,穗深城际线B140km/h,last
C 6734,深圳机场,0,1,60,穗深城际线B140km/h,first
C 6734,深圳机场北,1,0,63,穗深城际线B140km/h,middle
C 6734,深圳机场北,0,1,65,穗深城际线B140km/h,middle
C 6734,福海西,1,0,69,穗深城际线B140km/h,middle
C 6734,福海西,0,1,70,穗深城际线B140km/h,middle
C 6734,沙井西,1,0,74,穗深城际线B140km/h,middle
C 6734,沙井西,0,1,76,穗深城际线B140km/h,middle
C 6734,长安,1,0,82,穗深城际线B140km/h,middle
C 6734,长安,0,1,84,穗深城际线B140km/h,middle
C 6734,长安西,1,0,87,穗深城际线B140km/h,middle
C 6734,长安西,0,1,89,穗深城际线B140km/h,middle
C 6734,虎门东,1,0,95,穗深城际线B140km/h,middle
C 6734,虎门东,0,1,96,穗深城际线B140km/h,middle
C 6734,虎门北,1,0,101,穗深城际线B140km/h,middle
C 6734,虎门北,0,1,102,穗深城际线B140km/h,middle
C 6734,厚街,1,0,107,穗深城际线B140km/h,middle
C 6734,厚街,0,1,109,穗深城际线B140km/h,middle
C 6734,东莞港,1,0,113,穗深城际线B140km/h,middle
C 6734,东莞港,0,1,115,穗深城际线B140km/h,middle
C 6734,洪梅,1,0,120,穗深城际线B140km/h,middle
C 6734,洪梅,0,1,120,穗深城际线B140km/h,last
C 6745,厚街,0,1,0,穗深城际线B140km/h,first
C 6745,虎门北,1,0,5,穗深城际线B140km/h,middle
C 6745,虎门北,0,1,6,穗深城际线B140km/h,middle
C 6745,虎门东,1,0,11,穗深城际线B140km/h,middle
C 6745,虎门东,0,1,12,穗深城际线B140km/h,middle
C 6745,长安西,1,0,19,穗深城际线B140km/h,middle
C 6745,长安西,0,1,22,穗深城际线B140km/h,middle
C 6745,长安,1,0,23,穗深城际线B140km/h,middle
C 6745,长安,0,1,25,穗深城际线B140km/h,middle
C 6745,沙井西,1,0,31,穗深城际线B140km/h,middle
C 6745,沙井西,0,1,33,穗深城际线B140km/h,middle
C 6745,福海西,1,0,37,穗深城际线B140km/h,middle
C 6745,福海西,0,1,38,穗深城际线B140km/h,middle
C 6745,深圳机场北,1,0,41,穗深城际线B140km/h,middle
C 6745,深圳机场北,0,1,41,穗深城际线B140km/h,middle
C 6745,深圳机场,1,0,45,穗深城际线B140km/h,last
C 6751,新塘南,0,1,0,穗深城际线A140km/h,first
C 6751,中堂,1,0,5,穗深城际线A140km/h,middle
C 6751,中堂,0,1,6,穗深城际线A140km/h,middle
C 6751,望牛墩,1,0,11,穗深城际线A140km/h,middle
C 6751,望牛墩,0,1,12,穗深城际线A140km/h,middle
C 6751,东莞西,1,0,16,穗深城际线A140km/h,middle
C 6751,东莞西,0,1,18,穗深城际线B140km/h,middle
C 6751,洪梅,1,0,21,穗深城际线B140km/h,middle
C 6751,洪梅,0,1,23,穗深城际线B140km/h,middle
C 6751,东莞港,1,0,29,穗深城际线B140km/h,middle
C 6751,东莞港,0,1,31,穗深城际线B140km/h,middle
C 6751,厚街,1,0,35,穗深城际线B140km/h,middle
C 6751,厚街,0,1,37,穗深城际线B140km/h,middle
C 6751,虎门北,1,0,42,穗深城际线B140km/h,middle
C 6751,虎门北,0,1,43,穗深城际线B140km/h,middle
C 6751,虎门东,1,0,48,穗深城际线B140km/h,middle
C 6751,虎门东,0,1,49,穗深城际线B140km/h,middle
C 6751,长安西,1,0,55,穗深城际线B140km/h,middle
C 6751,长安西,0,1,57,穗深城际线B140km/h,middle
C 6751,长安,1,0,62,穗深城际线B140km/h,middle
C 6751,长安,0,1,64,穗深城际线B140km/h,middle
C 6751,沙井西,1,0,68,穗深城际线B140km/h,middle
C 6751,沙井西,0,1,70,穗深城际线B140km/h,middle
C 6751,福海西,1,0,74,穗深城际线B140km/h,middle
C 6751,福海西,0,1,75,穗深城际线B140km/h,middle
C 6751,深圳机场北,1,0,79,穗深城际线B140km/h,middle
C 6751,深圳机场北,0,1,81,穗深城际线B140km/h,middle
C 6751,深圳机场,1,0,86,穗深城际线B140km/h,last
C 6762,云东海,1,0,2,广佛肇城际线200km/h,first
C 6762,云东海,0,1,2,广佛肇城际线200km/h,middle
C 6762,三水北,1,0,8,广佛肇城际线200km/h,middle
C 6762,三水北,0,1,9,广佛肇城际线200km/h,middle
C 6762,狮山北,1,0,13,广佛肇城际线200km/h,middle
C 6762,狮山北,0,1,14,广佛肇城际线200km/h,middle
C 6762,狮山,1,0,17,广佛肇城际线200km/h,middle
C 6762,狮山,0,1,17,广佛肇城际线200km/h,middle
C 6762,佛山西,1,0,22,广佛肇城际线200km/h,last
C 6763,佛山西,0,1,49,广佛肇城际线200km/h,first
C 6763,狮山,1,0,53,广佛肇城际线200km/h,middle
C 6763,狮山,0,1,53,广佛肇城际线200km/h,middle
C 6763,狮山北,1,0,56,广佛肇城际线200km/h,middle
C 6763,狮山北,0,1,57,广佛肇城际线200km/h,middle
C 6763,三水北,1,0,61,广佛肇城际线200km/h,middle
C 6763,三水北,0,1,62,广佛肇城际线200km/h,middle
C 6763,云东海,1,0,68,广佛肇城际线200km/h,middle
C 6763,云东海,0,1,68,广佛肇城际线200km/h,middle
C 6763,大旺,1,0,71,广佛肇城际线200km/h,middle
C 6763,大旺,0,1,73,广佛肇城际线200km/h,middle
C 6763,四会,1,0,78,广佛肇城际线200km/h,middle
C 6763,四会,0,1,79,广佛肇城际线200km/h,middle
C 6763,鼎湖东,1,0,86,广佛肇城际线200km/h,middle
C 6763,鼎湖东,0,1,87,广佛肇城际线200km/h,middle
C 6763,鼎湖山,1,0,91,广佛肇城际线200km/h,middle
C 6763,鼎湖山,0,1,91,广佛肇城际线200km/h,middle
C 6763,端州,1,0,95,广佛肇城际线200km/h,middle
C 6763,端州,0,1,96,广佛肇城际线200km/h,middle
C 6763,肇庆,1,0,103,广佛肇城际线200km/h,last
C 6784,肇庆,0,1,16,广佛肇城际线200km/h,first
C 6784,端州,1,0,22,广佛肇城际线200km/h,middle
C 6784,端州,0,1,22,广佛肇城际线200km/h,middle
C 6784,鼎湖山,1,0,26,广佛肇城际线200km/h,middle
C 6784,鼎湖山,0,1,27,广佛肇城际线200km/h,middle
C 6784,鼎湖东,1,0,32,广佛肇城际线200km/h,middle
C 6784,鼎湖东,0,1,33,广佛肇城际线200km/h,middle
C 6784,四会,1,0,40,广佛肇城际线200km/h,middle
C 6784,四会,0,1,48,广佛肇城际线200km/h,middle
C 6784,大旺,1,0,52,广佛肇城际线200km/h,middle
C 6784,大旺,0,1,54,广佛肇城际线200km/h,middle
C 6784,云东海,1,0,59,广佛肇城际线200km/h,middle
C 6784,云东海,0,1,59,广佛肇城际线200km/h,middle
C 6784,三水北,1,0,64,广佛肇城际线200km/h,middle
C 6784,三水北,0,1,65,广佛肇城际线200km/h,middle
C 6784,狮山北,1,0,67,广佛肇城际线200km/h,middle
C 6784,狮山北,0,1,67,广佛肇城际线200km/h,middle
C 6784,狮山,1,0,70,广佛肇城际线200km/h,middle
C 6784,狮山,0,1,71,广佛肇城际线200km/h,middle
C 6784,佛山西,1,0,77,广佛肇城际线200km/h,last
C 6785,佛山西,0,1,95,广佛肇城际线200km/h,first
C 6785,狮山,1,0,99,广佛肇城际线200km/h,middle
C 6785,狮山,0,1,99,广佛肇城际线200km/h,middle
C 6785,狮山北,1,0,105,广佛肇城际线200km/h,middle
C 6785,狮山北,0,1,106,广佛肇城际线200km/h,middle
C 6785,三水北,1,0,108,广佛肇城际线200km/h,middle
C 6785,三水北,0,1,109,广佛肇城际线200km/h,middle
C 6785,云东海,1,0,114,广佛肇城际线200km/h,middle
C 6785,云东海,0,1,114,广佛肇城际线200km/h,middle
C 6785,大旺,1,0,117,广佛肇城际线200km/h,middle
C 6785,大旺,0,1,119,广佛肇城际线200km/h,last
C 6794,深圳机场,0,1,70,穗深城际线B140km/h,first
C 6794,深圳机场北,1,0,73,穗深城际线B140km/h,middle
C 6794,深圳机场北,0,1,75,穗深城际线B140km/h,middle
C 6794,福海西,1,0,79,穗深城际线B140km/h,middle
C 6794,福海西,0,1,80,穗深城际线B140km/h,middle
C 6794,沙井西,1,0,84,穗深城际线B140km/h,middle
C 6794,沙井西,0,1,86,穗深城际线B140km/h,middle
C 6794,长安,1,0,92,穗深城际线B140km/h,middle
C 6794,长安,0,1,94,穗深城际线B140km/h,middle
C 6794,长安西,1,0,97,穗深城际线B140km/h,middle
C 6794,长安西,0,1,99,穗深城际线B140km/h,middle
C 6794,虎门东,1,0,106,穗深城际线B140km/h,middle
C 6794,虎门东,0,1,107,穗深城际线B140km/h,middle
C 6794,虎门北,1,0,111,穗深城际线B140km/h,middle
C 6794,虎门北,0,1,112,穗深城际线B140km/h,middle
C 6794,厚街,1,0,117,穗深城际线B140km/h,middle
C 6794,厚街,0,1,119,穗深城际线B140km/h,last
C 6797,佛山西,0,1,40,广佛肇城际线200km/h,first
C 6797,狮山,1,0,44,广佛肇城际线200km/h,middle
C 6797,狮山,0,1,44,广佛肇城际线200km/h,middle
C 6797,狮山北,1,0,46,广佛肇城际线200km/h,middle
C 6797,狮山北,0,1,46,广佛肇城际线200km/h,middle
C 6797,三水北,1,0,49,广佛肇城际线200km/h,middle
C 6797,三水北,0,1,50,广佛肇城际线200km/h,middle
C 6797,云东海,1,0,56,广佛肇城际线200km/h,middle
C 6797,云东海,0,1,56,广佛肇城际线200km/h,middle
C 6797,大旺,1,0,59,广佛肇城际线200km/h,middle
C 6797,大旺,0,1,61,广佛肇城际线200km/h,middle
C 6797,四会,1,0,65,广佛肇城际线200km/h,middle
C 6797,四会,0,1,65,广佛肇城际线200km/h,middle
C 6797,鼎湖东,1,0,70,广佛肇城际线200km/h,middle
C 6797,鼎湖东,0,1,71,广佛肇城际线200km/h,middle
C 6797,鼎湖山,1,0,76,广佛肇城际线200km/h,middle
C 6797,鼎湖山,0,1,77,广佛肇城际线200km/h,middle
C 6797,端州,1,0,82,广佛肇城际线200km/h,middle
C 6797,端州,0,1,83,广佛肇城际线200km/h,middle
C 6797,肇庆,1,0,90,广佛肇城际线200km/h,last
C 6798,狮山,1,0,2,广佛肇城际线200km/h,first
C 6798,狮山,0,1,3,广佛肇城际线200km/h,middle
C 6798,佛山西,1,0,10,广佛肇城际线200km/h,last
C 6811,深圳坪山,0,1,70,杭深线250km/h,first
C 6811,深圳北,1,0,92,杭深线250km/h,last
C 6812,深圳北,0,1,13,杭深线250km/h,first
C 6812,深圳坪山,1,0,34,杭深线250km/h,last
C 6824,狮山北,1,0,0,广佛肇城际线200km/h,first
C 6824,狮山北,0,1,0,广佛肇城际线200km/h,middle
C 6824,三水北,1,0,3,广佛肇城际线200km/h,middle
C 6824,三水北,0,1,5,广佛肇城际线200km/h,middle
C 6824,云东海,1,0,11,广佛肇城际线200km/h,middle
C 6824,云东海,0,1,11,广佛肇城际线200km/h,middle
C 6824,大旺,1,0,14,广佛肇城际线200km/h,middle
C 6824,大旺,0,1,16,广佛肇城际线200km/h,middle
C 6824,四会,1,0,20,广佛肇城际线200km/h,middle
C 6824,四会,0,1,20,广佛肇城际线200km/h,middle
C 6824,鼎湖东,1,0,25,广佛肇城际线200km/h,middle
C 6824,鼎湖东,0,1,25,广佛肇城际线200km/h,middle
C 6824,鼎湖山,1,0,29,广佛肇城际线200km/h,middle
C 6824,鼎湖山,0,1,30,广佛肇城际线200km/h,middle
C 6824,端州,1,0,33,广佛肇城际线200km/h,middle
C 6824,端州,0,1,33,广佛肇城际线200km/h,middle
C 6824,肇庆,1,0,38,广佛肇城际线200km/h,last
C 6825,云东海,1,0,5,广佛肇城际线200km/h,first
C 6825,云东海,0,1,5,广佛肇城际线200km/h,middle
C 6825,大旺,1,0,7,广佛肇城际线200km/h,middle
C 6825,大旺,0,1,9,广佛肇城际线200km/h,middle
C 6825,四会,1,0,12,广佛肇城际线200km/h,middle
C 6825,四会,0,1,12,广佛肇城际线200km/h,middle
C 6825,鼎湖东,1,0,17,广佛肇城际线200km/h,middle
C 6825,鼎湖东,0,1,17,广佛肇城际线200km/h,middle
C 6825,鼎湖山,1,0,20,广佛肇城际线200km/h,middle
C 6825,鼎湖山,0,1,20,广佛肇城际线200km/h,middle
C 6825,端州,1,0,25,广佛肇城际线200km/h,middle
C 6825,端州,0,1,25,广佛肇城际线200km/h,middle
C 6825,肇庆,1,0,30,广佛肇城际线200km/h,last
C 6826,肇庆,0,1,53,广佛肇城际线200km/h,first
C 6826,端州,1,0,59,广佛肇城际线200km/h,middle
C 6826,端州,0,1,59,广佛肇城际线200km/h,middle
C 6826,鼎湖山,1,0,62,广佛肇城际线200km/h,middle
C 6826,鼎湖山,0,1,62,广佛肇城际线200km/h,middle
C 6826,鼎湖东,1,0,66,广佛肇城际线200km/h,middle
C 6826,鼎湖东,0,1,68,广佛肇城际线200km/h,middle
C 6826,四会,1,0,74,广佛肇城际线200km/h,middle
C 6826,四会,0,1,74,广佛肇城际线200km/h,middle
C 6826,大旺,1,0,77,广佛肇城际线200km/h,middle
C 6826,大旺,0,1,79,广佛肇城际线200km/h,middle
C 6826,云东海,1,0,82,广佛肇城际线200km/h,middle
C 6826,云东海,0,1,82,广佛肇城际线200km/h,middle
C 6826,三水北,1,0,88,广佛肇城际线200km/h,middle
C 6826,三水北,0,1,90,广佛肇城际线200km/h,middle
C 6826,狮山北,1,0,93,广佛肇城际线200km/h,middle
C 6826,狮山北,0,1,93,广佛肇城际线200km/h,middle
C 6826,狮山,1,0,95,广佛肇城际线200km/h,middle
C 6826,狮山,0,1,95,广佛肇城际线200km/h,middle
C 6826,佛山西,1,0,100,广佛肇城际线200km/h,middle
C 6826,佛山西,0,1,103,广深线140~180km/h,last
C 6828,肇庆,0,1,62,广佛肇城际线200km/h,first
C 6828,端州,1,0,68,广佛肇城际线200km/h,middle
C 6828,端州,0,1,68,广佛肇城际线200km/h,middle
C 6828,鼎湖山,1,0,71,广佛肇城际线200km/h,middle
C 6828,鼎湖山,0,1,71,广佛肇城际线200km/h,middle
C 6828,鼎湖东,1,0,75,广佛肇城际线200km/h,middle
C 6828,鼎湖东,0,1,77,广佛肇城际线200km/h,middle
C 6828,四会,1,0,83,广佛肇城际线200km/h,middle
C 6828,四会,0,1,83,广佛肇城际线200km/h,middle
C 6828,大旺,1,0,86,广佛肇城际线200km/h,middle
C 6828,大旺,0,1,88,广佛肇城际线200km/h,middle
C 6828,云东海,1,0,91,广佛肇城际线200km/h,middle
C 6828,云东海,0,1,91,广佛肇城际线200km/h,middle
C 6828,三水北,1,0,97,广佛肇城际线200km/h,middle
C 6828,三水北,0,1,99,广佛肇城际线200km/h,middle
C 6828,狮山北,1,0,102,广佛肇城际线200km/h,middle
C 6828,狮山北,0,1,102,广佛肇城际线200km/h,middle
C 6828,狮山,1,0,104,广佛肇城际线200km/h,middle
C 6828,狮山,0,1,104,广佛肇城际线200km/h,middle
C 6828,佛山西,1,0,109,广佛肇城际线200km/h,last
C 6838,广州东,1,0,2,广深线140~180km/h,first
C 6838,广州东,0,1,10,广深线140~180km/h,middle
C 6838,石牌,1,0,13,广深线140~180km/h,middle
C 6838,石牌,0,1,13,广深线140~180km/h,middle
C 6838,新塘南,1,0,37,广深线140~180km/h,middle
C 6838,新塘南,0,1,38,穗深城际线A140km/h,middle
C 6838,中堂,1,0,43,穗深城际线A140km/h,middle
C 6838,中堂,0,1,45,穗深城际线A140km/h,middle
C 6838,望牛墩,1,0,48,穗深城际线A140km/h,middle
C 6838,望牛墩,0,1,48,穗深城际线A140km/h,middle
C 6838,东莞西,1,0,51,穗深城际线A140km/h,middle
C 6838,东莞西,0,1,53,穗深城际线B140km/h,middle
C 6838,洪梅,1,0,56,穗深城际线B140km/h,middle
C 6838,洪梅,0,1,58,穗深城际线B140km/h,middle
C 6838,东莞港,1,0,64,穗深城际线B140km/h,middle
C 6838,东莞港,0,1,66,穗深城际线B140km/h,middle
C 6838,厚街,1,0,70,穗深城际线B140km/h,middle
C 6838,厚街,0,1,72,穗深城际线B140km/h,middle
C 6838,虎门北,1,0,77,穗深城际线B140km/h,middle
C 6838,虎门北,0,1,78,穗深城际线B140km/h,middle
C 6838,虎门东,1,0,83,穗深城际线B140km/h,middle
C 6838,虎门东,0,1,84,穗深城际线B140km/h,middle
C 6838,长安西,1,0,90,穗深城际线B140km/h,middle
C 6838,长安西,0,1,92,穗深城际线B140km/h,middle
C 6838,长安,1,0,96,穗深城际线B140km/h,middle
C 6838,长安,0,1,97,穗深城际线B140km/h,middle
C 6838,沙井西,1,0,103,穗深城际线B140km/h,middle
C 6838,沙井西,0,1,105,穗深城际线B140km/h,middle
C 6838,福海西,1,0,109,穗深城际线B140km/h,middle
