_,station,arr,dep,dwell,runtime,train
3,十字门,10:18,10:19,1,00:10,C 7771
4,横琴北,10:23,10:24,1,00:15,C 7771
5,横琴,10:29,10:30,1,00:21,C 7771
6,珠海长隆,10:36,-,0,00:28,C 7771
1,珠海长隆,-,10:51,0,00:00,C 7772
2,横琴,10:55,10:56,1,00:04,C 7772
3,横琴北,11:00,11:01,1,00:09,C 7772
4,十字门,11:05,11:06,1,00:14,C 7772
5,湾仔北,11:10,11:11,1,00:19,C 7772
6,珠海,11:19,-,0,00:28,C 7772
1,珠海,-,10:51,0,00:00,C 7755
2,湾仔北,10:56,10:57,1,00:05,C 7755
3,十字门,11:01,11:02,1,00:10,C 7755
4,横琴北,11:06,11:07,1,00:15,C 7755
5,横琴,11:12,11:13,1,00:21,C 7755
6,珠海长隆,11:19,-,0,00:28,C 7755
1,珠海长隆,-,11:34,0,00:00,C 7756
2,横琴,11:39,11:40,1,00:05,C 7756
3,横琴北,11:44,11:45,1,00:10,C 7756
4,十字门,11:49,11:50,1,00:15,C 7756
5,湾仔北,11:54,11:55,1,00:20,C 7756
6,珠海,12:02,-,0,00:28,C 7756
1,珠海,-,11:34,0,00:00,C 7773
2,湾仔北,11:39,11:40,1,00:05,C 7773
3,十字门,11:44,11:45,1,00:10,C 7773
4,横琴北,11:49,11:50,1,00:15,C 7773
5,横琴,11:55,11:56,1,00:21,C 7773
6,珠海长隆,12:02,-,0,00:28,C 7773
1,珠海长隆,-,12:17,0,00:00,C 7774
2,横琴,12:21,12:22,1,00:04,C 7774
3,横琴北,12:26,12:27,1,00:09,C 7774
4,十字门,12:31,12:32,1,00:14,C 7774
5,湾仔北,12:36,12:37,1,00:19,C 7774
6,珠海,12:45,-,0,00:28,C 7774
1,佛山西,-,10:14,0,00:00,C 7787
2,广州南,10:31,10:37,6,00:17,C 7787
3,小榄,10:58,11:00,2,00:44,C 7787
4,中山,11:11,11:12,1,00:57,C 7787
5,珠海,11:39,11:54,15,01:25,C 7787
6,湾仔北,12:00,12:01,1,01:46,C 7787
7,十字门,12:06,12:07,1,01:52,C 7787
8,横琴北,12:11,12:12,1,01:57,C 7787
9,横琴,12:16,12:17,1,02:02,C 7787
10,珠海长隆,12:24,-,0,02:10,C 7787
1,珠海长隆,-,12:40,0,00:00,C 7788
2,横琴,12:45,12:46,1,00:05,C 7788
3,横琴北,12:50,12:51,1,00:10,C 7788
4,十字门,12:55,12:56,1,00:15,C 7788
5,湾仔北,13:00,13:01,1,00:20,C 7788
6,珠海,13:08,-,0,00:28,C 7788
1,珠海,-,12:17,0,00:00,C 7757
2,湾仔北,12:22,12:23,1,00:05,C 7757
3,十字门,12:27,12:28,1,00:10,C 7757
4,横琴北,12:32,12:33,1,00:15,C 7757
5,横琴,12:38,12:39,1,00:21,C 7757
6,珠海长隆,12:45,-,0,00:28,C 7757
1,珠海长隆,-,13:00,0,00:00,C 7758
2,横琴,13:05,13:06,1,00:05,C 7758
3,横琴北,13:10,13:11,1,00:10,C 7758
4,十字门,13:15,13:16,1,00:15,C 7758
5,湾仔北,13:20,13:21,1,00:20,C 7758
6,珠海,13:28,-,0,00:28,C 7758
1,珠海,-,13:00,0,00:00,C 7775
2,湾仔北,13:05,13:06,1,00:05,C 7775
3,十字门,13:10,13:11,1,00:10,C 7775
4,横琴北,13:15,13:16,1,00:15,C 7775
5,横琴,13:21,13:22,1,00:21,C 7775
6,珠海长隆,13:28,-,0,00:28,C 7775
1,珠海长隆,-,13:43,0,00:00,C 7776
2,横琴,13:47,13:48,1,00:04,C 7776
3,横琴北,13:52,13:53,1,00:09,C 7776
4,十字门,13:57,13:58,1,00:14,C 7776
5,湾仔北,14:02,14:03,1,00:19,C 7776
6,珠海,14:11,-,0,00:28,C 7776
1,珠海,-,13:23,0,00:00,C 7789
2,湾仔北,13:29,13:30,1,00:06,C 7789
3,十字门,13:34,13:35,1,00:11,C 7789
4,横琴北,13:39,13:40,1,00:16,C 7789
5,横琴,13:45,13:46,1,00:22,C 7789
6,珠海长隆,13:52,-,0,00:29,C 7789
1,珠海长隆,-,14:07,0,00:00,C 7790
2,横琴,14:12,14:13,1,00:05,C 7790
3,横琴北,14:17,14:18,1,00:10,C 7790
4,十字门,14:22,14:23,1,00:15,C 7790
5,湾仔北,14:27,14:28,1,00:20,C 7790
6,珠海,14:35,-,0,00:28,C 7790
1,珠海,-,13:43,0,00:00,C 7759
2,湾仔北,13:48,13:49,1,00:05,C 7759
3,十字门,13:53,13:54,1,00:10,C 7759
4,横琴北,13:58,13:59,1,00:15,C 7759
5,横琴,14:04,14:05,1,00:21,C 7759
6,珠海长隆,14:11,-,0,00:28,C 7759
1,珠海长隆,-,14:26,0,00:00,C 7760
2,横琴,14:31,14:32,1,00:05,C 7760
3,横琴北,14:36,14:37,1,00:10,C 7760
4,十字门,14:41,14:42,1,00:15,C 7760
5,湾仔北,14:46,14:47,1,00:20,C 7760
6,珠海,14:54,-,0,00:28,C 7760
1,珠海,-,14:26,0,00:00,C 7777
2,湾仔北,14:31,14:32,1,00:05,C 7777
3,十字门,14:36,14:37,1,00:10,C 7777
4,横琴北,14:41,14:42,1,00:15,C 7777
5,横琴,14:47,14:48,1,00:21,C 7777
6,珠海长隆,14:54,-,0,00:28,C 7777
1,珠海长隆,-,15:09,0,00:00,C 7778
2,横琴,15:13,15:14,1,00:04,C 7778
3,横琴北,15:18,15:19,1,00:09,C 7778
4,十字门,15:23,15:24,1,00:14,C 7778
5,湾仔北,15:28,15:29,1,00:19,C 7778
6,珠海,15:37,-,0,00:28,C 7778
1,珠海,-,14:50,0,00:00,C 7791
2,湾仔北,14:56,14:57,1,00:06,C 7791
3,十字门,15:01,15:02,1,00:11,C 7791
4,横琴北,15:06,15:07,1,00:16,C 7791
5,横琴,15:12,15:13,1,00:22,C 7791
6,珠海长隆,15:19,-,0,00:29,C 7791
1,珠海长隆,-,15:35,0,00:00,C 7792
2,横琴,15:40,15:41,1,00:05,C 7792
3,横琴北,15:45,15:46,1,00:10,C 7792
4,十字门,15:50,15:51,1,00:15,C 7792
5,湾仔北,15:55,15:56,1,00:20,C 7792
6,珠海,16:03,-,0,00:28,C 7792
1,珠海,-,15:09,0,00:00,C 7761
2,湾仔北,15:14,15:15,1,00:05,C 7761
3,十字门,15:19,15:20,1,00:10,C 7761
4,横琴北,15:24,15:25,1,00:15,C 7761
5,横琴,15:30,15:31,1,00:21,C 7761
6,珠海长隆,15:37,-,0,00:28,C 7761
1,珠海长隆,-,15:52,0,00:00,C 7762
2,横琴,15:57,15:58,1,00:05,C 7762
3,横琴北,16:02,16:03,1,00:10,C 7762
4,十字门,16:07,16:08,1,00:15,C 7762
5,湾仔北,16:12,16:13,1,00:20,C 7762
6,珠海,16:20,-,0,00:28,C 7762
1,珠海,-,15:52,0,00:00,C 7779
2,湾仔北,15:57,15:58,1,00:05,C 7779
3,十字门,16:02,16:03,1,00:10,C 7779
4,横琴北,16:07,16:08,1,00:15,C 7779
5,横琴,16:13,16:14,1,00:21,C 7779
6,珠海长隆,16:20,-,0,00:28,C 7779
1,珠海长隆,-,16:35,0,00:00,C 7780
2,横琴,16:39,16:40,1,00:04,C 7780
3,横琴北,16:44,16:45,1,00:09,C 7780
4,十字门,16:49,16:50,1,00:14,C 7780
5,湾仔北,16:54,16:55,1,00:19,C 7780
6,珠海,17:03,-,0,00:28,C 7780
1,珠海,-,16:18,0,00:00,C 7793
2,湾仔北,16:24,16:25,1,00:06,C 7793
3,十字门,16:29,16:30,1,00:11,C 7793
4,横琴北,16:34,16:35,1,00:16,C 7793
5,横琴,16:40,16:41,1,00:22,C 7793
6,珠海长隆,16:47,-,0,00:29,C 7793
1,珠海长隆,-,17:02,0,00:00,C 7794
2,横琴,17:07,17:08,1,00:05,C 7794
3,横琴北,17:12,17:13,1,00:10,C 7794
4,十字门,17:17,17:18,1,00:15,C 7794
5,湾仔北,17:22,17:23,1,00:20,C 7794
6,珠海,17:30,-,0,00:28,C 7794
1,珠海,-,16:35,0,00:00,C 7763
2,湾仔北,16:40,16:41,1,00:05,C 7763
3,十字门,16:45,16:46,1,00:10,C 7763
4,横琴北,16:50,16:51,1,00:15,C 7763
5,横琴,16:56,16:57,1,00:21,C 7763
6,珠海长隆,17:03,-,0,00:28,C 7763
1,珠海长隆,-,17:18,0,00:00,C 7764
2,横琴,17:23,17:24,1,00:05,C 7764
3,横琴北,17:28,17:29,1,00:10,C 7764
4,十字门,17:33,17:34,1,00:15,C 7764
5,湾仔北,17:38,17:39,1,00:20,C 7764
6,珠海,17:46,-,0,00:28,C 7764
1,珠海,-,17:18,0,00:00,C 7781
2,湾仔北,17:23,17:24,1,00:05,C 7781
3,十字门,17:28,17:29,1,00:10,C 7781
4,横琴北,17:33,17:34,1,00:15,C 7781
5,横琴,17:39,17:40,1,00:21,C 7781
6,珠海长隆,17:46,-,0,00:28,C 7781
1,珠海长隆,-,18:01,0,00:00,C 7782
2,横琴,18:05,18:06,1,00:04,C 7782
3,横琴北,18:10,18:11,1,00:09,C 7782
4,十字门,18:15,18:16,1,00:14,C 7782
5,湾仔北,18:20,18:21,1,00:19,C 7782
6,珠海,18:29,-,0,00:28,C 7782
1,珠海,-,17:45,0,00:00,C 7795
2,湾仔北,17:51,17:52,1,00:06,C 7795
3,十字门,17:56,17:57,1,00:11,C 7795
4,横琴北,18:01,18:02,1,00:16,C 7795
5,横琴,18:07,18:08,1,00:22,C 7795
6,珠海长隆,18:14,-,0,00:29,C 7795
1,珠海长隆,-,18:29,0,00:00,C 7796
2,横琴,18:34,18:35,1,00:05,C 7796
3,横琴北,18:39,18:40,1,00:10,C 7796
4,十字门,18:44,18:45,1,00:15,C 7796
5,湾仔北,18:49,18:50,1,00:20,C 7796
6,珠海,18:57,-,0,00:28,C 7796
1,珠海,-,18:01,0,00:00,C 7765
2,湾仔北,18:06,18:07,1,00:05,C 7765
3,十字门,18:11,18:12,1,00:10,C 7765
4,横琴北,18:16,18:17,1,00:15,C 7765
5,横琴,18:22,18:23,1,00:21,C 7765
6,珠海长隆,18:29,-,0,00:28,C 7765
1,珠海长隆,-,18:44,0,00:00,C 7766
2,横琴,18:49,18:50,1,00:05,C 7766
3,横琴北,18:54,18:55,1,00:10,C 7766
4,十字门,18:59,19:00,1,00:15,C 7766
5,湾仔北,19:04,19:05,1,00:20,C 7766
6,珠海,19:12,-,0,00:28,C 7766
1,珠海,-,18:44,0,00:00,C 7783
2,湾仔北,18:49,18:50,1,00:05,C 7783
3,十字门,18:54,18:55,1,00:10,C 7783
4,横琴北,18:59,19:00,1,00:15,C 7783
5,横琴,19:05,19:06,1,00:21,C 7783
6,珠海长隆,19:12,-,0,00:28,C 7783
1,珠海长隆,-,19:30,0,00:00,C 7784
2,横琴,19:34,19:35,1,00:04,C 7784
3,横琴北,19:39,19:40,1,00:09,C 7784
4,十字门,19:44,19:45,1,00:14,C 7784
5,湾仔北,19:49,19:50,1,00:19,C 7784
6,珠海,19:58,-,0,00:28,C 7784
1,珠海,-,19:12,0,00:00,C 7797
2,湾仔北,19:18,19:19,1,00:06,C 7797
3,十字门,19:23,19:24,1,00:11,C 7797
4,横琴北,19:28,19:29,1,00:16,C 7797
5,横琴,19:34,19:35,1,00:22,C 7797
6,珠海长隆,19:41,-,0,00:29,C 7797
1,珠海,-,19:30,0,00:00,C 7767
2,湾仔北,19:35,19:36,1,00:05,C 7767
3,十字门,19:40,19:41,1,00:10,C 7767
4,横琴北,19:45,19:46,1,00:15,C 7767
5,横琴,19:51,19:52,1,00:21,C 7767
6,珠海长隆,19:58,-,0,00:28,C 7767
1,珠海长隆,-,20:03,0,00:00,C 7798
2,横琴,20:07,20:08,1,00:04,C 7798
3,横琴北,20:12,20:13,1,00:09,C 7798
4,十字门,20:17,20:18,1,00:14,C 7798
5,湾仔北,20:22,20:23,1,00:19,C 7798
6,珠海,20:31,20:46,15,00:28,C 7798
7,唐家湾,21:01,21:03,2,00:58,C 7798
8,中山,21:14,21:16,2,01:11,C 7798
9,广州南,21:45,21:49,4,01:42,C 7798
10,佛山西,22:08,-,0,02:05,C 7798
1,珠海,-,06:20,0,00:00,C 7602
2,明珠,06:30,06:31,1,00:10,C 7602
3,中山北,06:49,06:51,2,00:29,C 7602
4,小榄,07:00,07:01,1,00:40,C 7602
5,容桂,07:08,07:10,2,00:48,C 7602
6,顺德,07:19,07:20,1,00:59,C 7602
7,广州南,07:31,-,0,01:11,C 7602
1,珠海,-,06:40,0,00:00,C 7604
2,明珠,06:50,06:51,1,00:10,C 7604
3,小榄,07:15,07:17,2,00:35,C 7604
4,容桂,07:24,07:25,1,00:44,C 7604
5,顺德,07:34,07:36,2,00:54,C 7604
6,广州南,07:46,-,0,01:06,C 7604
1,珠海,-,07:00,0,00:00,C 7606
2,明珠,07:10,07:11,1,00:10,C 7606
3,中山,07:28,07:29,1,00:28,C 7606
4,中山北,07:34,07:35,1,00:34,C 7606
5,小榄,07:44,07:46,2,00:44,C 7606
6,容桂,07:53,07:55,2,00:53,C 7606
7,顺德,08:04,08:10,6,01:04,C 7606
8,广州南,08:20,-,0,01:20,C 7606
1,广州南,-,06:10,0,00:00,C 7601
2,小榄,06:28,06:30,2,00:18,C 7601
3,中山北,06:39,06:40,1,00:29,C 7601
4,中山,06:45,06:46,1,00:35,C 7601
5,明珠,07:03,07:04,1,00:53,C 7601
6,珠海,07:17,-,0,01:07,C 7601
1,广州南,-,06:22,0,00:00,D 7139
2,中山,06:51,06:56,5,00:29,D 7139
3,珠海,07:22,-,0,01:00,D 7139
1,珠海,-,07:23,0,00:00,D 3608
2,中山,07:46,07:48,2,00:23,D 3608
3,广州南,08:18,08:26,8,00:55,D 3608
4,佛山西,08:45,08:47,2,01:22,D 3608
5,云浮东,09:25,09:27,2,02:02,D 3608
6,梧州南,10:00,10:03,3,02:37,D 3608
7,平南南,10:29,10:37,8,03:06,D 3608
8,桂平,10:51,10:58,7,03:28,D 3608
9,贵港,11:17,11:27,10,03:54,D 3608
10,南宁东,12:10,-,0,04:47,D 3608
1,广州南,-,06:30,0,00:00,C 7603
2,小榄,06:48,06:50,2,00:18,C 7603
3,中山北,06:59,07:00,1,00:29,C 7603
4,明珠,07:18,07:20,2,00:48,C 7603
5,珠海,07:32,-,0,01:02,C 7603
1,佛山西,-,06:17,0,00:00,C 7785
2,广州南,06:34,06:39,5,00:17,C 7785
3,小榄,07:00,07:02,2,00:43,C 7785
4,唐家湾,07:21,07:22,1,01:04,C 7785
5,珠海,07:40,-,0,01:23,C 7785
1,珠海,-,07:42,0,00:00,D 1842
2,中山,08:05,08:08,3,00:23,D 1842
3,广州南,08:37,08:47,10,00:55,D 1842
4,佛山西,09:06,09:08,2,01:24,D 1842
5,怀集,09:53,10:01,8,02:11,D 1842
6,贺州,10:31,10:33,2,02:49,D 1842
7,钟山西,10:45,10:47,2,03:03,D 1842
8,桂林西,11:39,11:43,4,03:57,D 1842
9,从江,12:32,12:34,2,04:50,D 1842
10,都匀东,13:21,13:24,3,05:39,D 1842
11,贵阳东,14:03,14:07,4,06:21,D 1842
12,宜宾西,15:58,16:02,4,08:16,D 1842
13,泥溪,16:19,16:21,2,08:37,D 1842
14,青神,16:58,17:00,2,09:16,D 1842
15,新津南,17:19,17:21,2,09:37,D 1842
16,成都东,17:44,-,0,10:02,D 1842
1,珠海,-,07:47,0,00:00,C 7608
2,唐家湾,08:02,08:03,1,00:15,C 7608
3,中山,08:15,08:16,1,00:28,C 7608
4,小榄,08:27,08:28,1,00:40,C 7608
5,顺德学院,08:39,08:40,1,00:52,C 7608
6,顺德,08:46,08:47,1,00:59,C 7608
7,广州南,08:58,-,0,01:11,C 7608
1,北京西,-,20:35,0,00:00,D 923
2,保定东,21:20,21:22,2,00:45,D 923
3,石家庄,22:03,22:06,3,01:28,D 923
4,郑州东,23:48,23:52,4,03:13,D 923
5,广州南,06:43,06:49,6,10:08,D 923
6,中山,07:18,07:20,2,10:43,D 923
7,珠海,07:48,-,0,11:13,D 923
1,广州南,-,06:49,0,00:00,D 7589
2,珠海,07:48,-,0,00:59,D 7589
1,广州南,-,07:02,0,00:00,C 6975
2,中山,07:28,07:30,2,00:26,C 6975
3,珠海,07:56,-,0,00:54,C 6975
1,珠海,-,07:58,0,00:00,C 7610
2,明珠,08:08,08:09,1,00:10,C 7610
3,中山北,08:27,08:29,2,00:29,C 7610
4,小榄,08:38,08:39,1,00:40,C 7610
5,南头,08:45,08:46,1,00:47,C 7610
6,顺德,08:57,08:58,1,00:59,C 7610
7,广州南,09:09,-,0,01:11,C 7610
1,广州南,-,07:09,0,00:00,D 7133
2,中山,07:38,07:40,2,00:29,D 7133
3,珠海,08:06,-,0,00:57,D 7133
1,珠海,-,08:22,0,00:00,C 6972
2,中山,08:45,08:47,2,00:23,C 6972
3,广州南,09:15,09:36,21,00:53,C 6972
4,江门,10:07,10:09,2,01:45,C 6972
5,双水镇,10:21,10:23,2,01:59,C 6972
6,阳江,11:07,11:09,2,02:45,C 6972
7,阳西,11:24,11:26,2,03:02,C 6972
8,电白,11:47,11:49,2,03:25,C 6972
9,茂名,12:02,12:04,2,03:40,C 6972
10,吴川,12:16,12:18,2,03:54,C 6972
11,湛江西,12:45,-,0,04:23,C 6972
1,上海虹桥,-,19:55,0,00:00,D 941
2,杭州东,20:51,20:53,2,00:56,D 941
3,宁波,21:45,21:53,8,01:50,D 941
4,台州西,22:47,22:49,2,02:52,D 941
5,深圳北,06:23,06:31,8,10:28,D 941
6,广州南,07:03,07:29,26,11:08,D 941
7,中山,07:58,08:01,3,12:03,D 941
8,珠海,08:27,-,0,12:32,D 941
1,珠海,-,08:45,0,00:00,G 542
2,中山,09:08,09:10,2,00:23,G 542
3,广州南,09:39,09:43,4,00:54,G 542
4,广州北,10:00,10:02,2,01:15,G 542
5,郴州西,11:07,11:16,9,02:22,G 542
6,衡山西,11:57,11:59,2,03:12,G 542
7,长沙南,12:32,12:35,3,03:47,G 542
8,武汉,13:54,13:58,4,05:09,G 542
9,信阳东,14:41,14:43,2,05:56,G 542
10,驻马店西,15:08,15:10,2,06:23,G 542
11,漯河西,15:28,15:30,2,06:43,G 542
12,许昌东,15:46,15:54,8,07:01,G 542
13,郑州东,16:17,-,0,07:32,G 542
1,广州南,-,07:57,0,00:00,C 7609
2,小榄,08:15,08:17,2,00:18,C 7609
3,中山,08:27,08:29,2,00:30,C 7609
4,明珠,08:45,08:47,2,00:48,C 7609
5,珠海,09:00,-,0,01:03,C 7609
1,珠海,-,09:10,0,00:00,D 2368
2,中山,09:33,09:35,2,00:23,D 2368
3,广州南,10:03,10:11,8,00:53,D 2368
4,三水南,10:38,10:40,2,01:28,D 2368
5,广宁,11:04,11:06,2,01:54,D 2368
6,贺州,11:47,11:49,2,02:37,D 2368
7,恭城,12:17,12:25,8,03:07,D 2368
8,阳朔,12:39,12:41,2,03:29,D 2368
9,桂林北,13:07,-,0,03:57,D 2368
1,珠海,-,09:15,0,00:00,C 7616
2,明珠,09:25,09:26,1,00:10,C 7616
3,珠海北,09:36,09:43,7,00:21,C 7616
4,中山,09:53,09:55,2,00:38,C 7616
5,小榄,10:06,10:08,2,00:51,C 7616
6,顺德学院,10:19,10:20,1,01:04,C 7616
7,广州南,10:33,-,0,01:18,C 7616
1,广州南,-,08:07,0,00:00,C 7611
2,容桂,08:21,08:28,7,00:14,C 7611
3,小榄,08:35,08:37,2,00:28,C 7611
4,中山,08:47,08:49,2,00:40,C 7611
5,唐家湾,09:00,09:02,2,00:53,C 7611
6,珠海,09:20,-,0,01:13,C 7611
1,珠海,-,09:25,0,00:00,D 7132
2,中山,09:48,09:50,2,00:23,D 7132
3,广州南,10:20,10:26,6,00:55,D 7132
4,佛山西,10:46,-,0,01:21,D 7132
1,珠海,-,09:37,0,00:00,C 7618
2,南朗,09:56,09:58,2,00:19,C 7618
3,中山北,10:06,10:08,2,00:29,C 7618
4,容桂,10:21,10:22,1,00:44,C 7618
5,广州南,10:38,-,0,01:01,C 7618
1,广州南,-,08:19,0,00:00,C 7613
2,顺德,08:27,08:40,13,00:08,C 7613
3,小榄,08:53,08:55,2,00:34,C 7613
4,中山北,09:04,09:05,1,00:45,C 7613
5,明珠,09:23,09:25,2,01:04,C 7613
6,珠海,09:38,-,0,01:19,C 7613
1,广州南,-,08:19,0,00:00,C 7613
2,顺德,08:27,08:40,13,00:08,C 7613
3,小榄,08:53,08:55,2,00:34,C 7613
4,中山北,09:04,09:05,1,00:45,C 7613
5,明珠,09:23,09:25,2,01:04,C 7613
6,珠海,09:38,-,0,01:19,C 7613
1,广州南,-,08:56,0,00:00,D 7129
2,中山,09:25,09:27,2,00:29,D 7129
3,珠海,09:52,-,0,00:56,D 7129
1,珠海,-,09:53,0,00:00,C 7620
2,明珠,10:03,10:04,1,00:10,C 7620
3,唐家湾,10:12,10:14,2,00:19,C 7620
4,南朗,10:21,10:23,2,00:28,C 7620
5,中山,10:30,10:31,1,00:37,C 7620
6,中山北,10:36,10:37,1,00:43,C 7620
7,小榄,10:47,10:53,6,00:54,C 7620
8,广州南,11:13,-,0,01:20,C 7620
1,佛山西,-,08:34,0,00:00,D 7137
2,广州南,08:53,09:02,9,00:19,D 7137
3,中山,09:31,09:34,3,00:57,D 7137
4,珠海,10:00,-,0,01:26,D 7137
1,珠海,-,10:05,0,00:00,C 7622
2,明珠,10:15,10:16,1,00:10,C 7622
3,珠海北,10:26,10:33,7,00:21,C 7622
4,中山,10:43,10:46,3,00:38,C 7622
5,小榄,10:59,11:05,6,00:54,C 7622
6,顺德,11:18,11:19,1,01:13,C 7622
7,广州南,11:30,-,0,01:25,C 7622
1,珠海,-,10:15,0,00:00,G 68
2,中山,10:38,10:40,2,00:23,G 68
3,广州南,11:10,11:17,7,00:55,G 68
4,韶关,12:08,12:10,2,01:53,G 68
5,耒阳西,12:57,12:59,2,02:42,G 68
6,株洲西,13:38,13:40,2,03:23,G 68
7,长沙南,13:59,14:02,3,03:44,G 68
8,岳阳东,14:35,14:37,2,04:20,G 68
9,武汉,15:28,15:35,7,05:13,G 68
10,信阳东,16:18,16:20,2,06:03,G 68
11,驻马店西,16:45,16:47,2,06:30,G 68
12,漯河西,17:05,17:07,2,06:50,G 68
13,许昌东,17:23,17:25,2,07:08,G 68
14,郑州东,17:48,17:53,5,07:33,G 68
15,新乡东,18:13,18:15,2,07:58,G 68
16,安阳东,18:41,18:47,6,08:26,G 68
17,石家庄,19:38,19:43,5,09:23,G 68
18,正定机场,19:57,19:59,2,09:42,G 68
19,高碑店东,20:37,20:39,2,10:22,G 68
20,北京西,21:10,-,0,10:55,G 68
1,广州南,-,09:16,0,00:00,C 7617
2,小榄,09:34,09:36,2,00:18,C 7617
3,中山北,09:45,09:46,1,00:29,C 7617
4,唐家湾,09:59,10:01,2,00:43,C 7617
5,明珠,10:09,10:10,1,00:53,C 7617
6,珠海,10:23,-,0,01:07,C 7617
1,珠海,-,10:27,0,00:00,D 3842
2,中山,10:50,10:52,2,00:23,D 3842
3,广州南,11:20,11:28,8,00:53,D 3842
4,佛山西,11:47,11:49,2,01:20,D 3842
5,肇庆东,12:10,12:12,2,01:43,D 3842
6,云浮东,12:33,12:40,7,02:06,D 3842
7,梧州南,13:12,13:15,3,02:45,D 3842
8,藤县,13:26,13:28,2,02:59,D 3842
9,桂平,13:57,14:04,7,03:30,D 3842
10,南宁东,15:02,15:05,3,04:35,D 3842
11,南宁,15:16,15:20,4,04:49,D 3842
12,隆安东,15:51,15:53,2,05:24,D 3842
13,平果,16:04,16:08,4,05:37,D 3842
14,田阳,16:34,16:36,2,06:07,D 3842
15,百色,16:52,16:56,4,06:25,D 3842
16,富宁,17:33,17:35,2,07:06,D 3842
17,广南县,18:01,18:04,3,07:34,D 3842
18,普者黑,18:32,18:36,4,08:05,D 3842
19,石林西,19:23,19:25,2,08:56,D 3842
20,昆明南,19:46,-,0,09:19,D 3842
1,珠海,-,10:38,0,00:00,C 7624
2,唐家湾,10:53,10:54,1,00:15,C 7624
3,珠海北,10:59,11:00,1,00:21,C 7624
4,中山北,11:12,11:13,1,00:34,C 7624
5,小榄,11:22,11:24,2,00:44,C 7624
6,容桂,11:31,11:37,6,00:53,C 7624
7,北滘,11:48,11:49,1,01:10,C 7624
8,广州南,11:59,-,0,01:21,C 7624
1,广州南,-,09:26,0,00:00,C 7619
2,顺德学院,09:37,09:38,1,00:11,C 7619
3,小榄,09:49,09:50,1,00:23,C 7619
4,中山,10:01,10:02,1,00:35,C 7619
5,南朗,10:09,10:11,2,00:43,C 7619
6,明珠,10:23,10:25,2,00:57,C 7619
7,珠海,10:38,-,0,01:12,C 7619
1,广州南,-,09:31,0,00:00,C 7621
2,顺德,09:39,09:46,7,00:08,C 7621
3,小榄,09:59,10:01,2,00:28,C 7621
4,中山,10:11,10:13,2,00:40,C 7621
5,南朗,10:20,10:21,1,00:49,C 7621
6,珠海北,10:28,10:29,1,00:57,C 7621
7,珠海,10:48,-,0,01:17,C 7621
1,珠海,-,10:53,0,00:00,C 7626
2,唐家湾,11:08,11:09,1,00:15,C 7626
3,中山,11:21,11:22,1,00:28,C 7626
4,小榄,11:33,11:35,2,00:40,C 7626
5,南头,11:40,11:42,2,00:47,C 7626
6,顺德,11:52,11:54,2,00:59,C 7626
7,广州南,12:04,-,0,01:11,C 7626
1,广州南,-,09:41,0,00:00,C 7623
2,北滘,09:48,09:50,2,00:07,C 7623
3,容桂,10:00,10:07,7,00:19,C 7623
4,中山北,10:20,10:22,2,00:39,C 7623
